--- Encoded Signal Output (ADC Data) ---
Time(s) | Sampled V | Quantized V | Encoded 3-Bit Code
------------------------------------------------------
  0.00  |   4.000   |    4.00     |       100
  0.05  |   5.082   |    5.00     |       101
  0.10  |   6.057   |    6.00     |       110
  0.15  |   6.832   |    7.00     |       111
  0.20  |   7.329   |    7.00     |       111
  0.25  |   7.500   |    8.00     |       111
  0.30  |   7.329   |    7.00     |       111
  0.35  |   6.832   |    7.00     |       111
  0.40  |   6.057   |    6.00     |       110
  0.45  |   5.082   |    5.00     |       101
  0.50  |   4.000   |    4.00     |       100
  0.55  |   2.918   |    3.00     |       011
  0.60  |   1.943   |    2.00     |       010
  0.65  |   1.168   |    1.00     |       001
  0.70  |   0.671   |    1.00     |       001
  0.75  |   0.500   |    1.00     |       001
  0.80  |   0.671   |    1.00     |       001
  0.85  |   1.168   |    1.00     |       001
  0.90  |   1.943   |    2.00     |       010
  0.95  |   2.918   |    3.00     |       011
  1.00  |   4.000   |    4.00     |       100
  1.05  |   5.082   |    5.00     |       101
  1.10  |   6.057   |    6.00     |       110
  1.15  |   6.832   |    7.00     |       111
  1.20  |   7.329   |    7.00     |       111
  1.25  |   7.500   |    8.00     |       111
  1.30  |   7.329   |    7.00     |       111
  1.35  |   6.832   |    7.00     |       111
  1.40  |   6.057   |    6.00     |       110
  1.45  |   5.082   |    5.00     |       101
  1.50  |   4.000   |    4.00     |       100
  1.55  |   2.918   |    3.00     |       011
  1.60  |   1.943   |    2.00     |       010
  1.65  |   1.168   |    1.00     |       001
  1.70  |   0.671   |    1.00     |       001
  1.75  |   0.500   |    1.00     |       001
  1.80  |   0.671   |    1.00     |       001
  1.85  |   1.168   |    1.00     |       001
  1.90  |   1.943   |    2.00     |       010
  1.95  |   2.918   |    3.00     |       011
  2.00  |   4.000   |    4.00     |       100
>> 
